,Source Code,Reporting Code,Session Code,Session Name,Total Fees,Att. Entered Date,Checked In,Reg Method,Organization,City,State,Zip,Country,Age Ranges,Gender/Sex,combined_id,domain,Year
0,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,2/28/2020 1:40:34 AM,False,WEB,None,San Jose,CA,95124,United States,18-24,Male,0,gmail.com,2020
1,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/25/2020 9:48:18 PM,False,WEB,None,Folsom,CA,95630,United States,18-24,Male,1,gmail.com,2020
2,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/30/2020 1:56:47 PM,False,WEB,None,San Jose,CA,95123,United States,11-17,Female,2,icloud.com,2020
3,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/22/2020 2:23:25 PM,False,WEB,None,Reno,NV,89509,United States,18-24,Gender non-conforming,3,yahoo.com,2020
4,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 10:03:02 AM,False,WEB,None,bell gardens,CA,90201,United States,35-44,Male,4,yahoo.com,2020
5,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/29/2019 11:34:46 AM,False,WEB,None,Davis,CA,95616,United States,18-24,Female,5,gmail.com,2020
6,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,11/8/2019 8:50:14 PM,False,WEB,None,San Jose,CA,95139,United States,25-34,Prefer not to respond,6,gmail.com,2020
7,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,10/29/2019 5:13:00 PM,False,WEB,None,Chico,CA,95993,United States,18-24,Female,7,gmail.com,2020
8,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/5/2020 11:17:31 PM,False,WEB,None,Moreno Valley,CA,92551,United States,18-24,Male,8,gmail.com,2020
9,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/19/2020 1:26:03 PM,False,WEB,None,SAN JOSE,CA,95132-2360,United States,18-24,Female,9,gmail.com,2020
10,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/10/2020 9:42:51 PM,False,WEB,None,Santa Clara,CA,95051,United States,35-44,Male,10,gmail.com,2020
11,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,3/10/2020 9:46:43 PM,False,WEB,None,Santa Clara,CA,95051,United States,11-17,Female,11,gmail.com,2020
12,CANCEL,GENERAL,CANCEL,Cancellation Fee,$0.00,1/3/2020 2:48:34 PM,False,WEB,None,Alviso,CA,96002,United States,18-24,Female,12,gmail.com,2020
